,username,TwitterID,DateTime,content,likes,retweet,replies,image,articleImage,video
1971,WebMD,879904695799750656,8:30 PM - 27 Jun 2017,"Breast cancer often has no symptoms, but you may notice something you want the doctor to check. More information: http://wb.md/2tRDltL pic.twitter.com/Mfp41Idghq",66,64,0,https://pbs.twimg.com/media/DDYMp7DXsAAo1eR.jpg,,
1972,WebMD,879889594581487620,7:30 PM - 27 Jun 2017,11 science-backed strategies to make your weight loss journey a little easier: http://wb.md/2tiQ6AL pic.twitter.com/uqhGGvhILK,122,39,0,https://pbs.twimg.com/media/DDX-6_yXUAA0uuS.jpg,,
1973,WebMD,879874497461006339,6:30 PM - 27 Jun 2017,Cellulitis can be very serious if it's in deeper skin tissue and gets in your blood stream. When to call a doctor: http://wb.md/2tkv19d pic.twitter.com/eCS7fdpQMC,37,38,2,https://pbs.twimg.com/media/DDXxMLFXgAA-Sv6.jpg,,
1974,WebMD,879859613243408385,5:30 PM - 27 Jun 2017,Causes of neck and shoulder pain can range for poor posture and muscle strain to tumors and degenerative diseases. http://wb.md/2tkPRoB pic.twitter.com/FRGYImKRa6,48,45,4,,,"['PlayableMedia', 'PlayableMedia--video']"
1975,WebMD,879836749148639232,4:00 PM - 27 Jun 2017,"Of the estimated 45,000 US snakebites per year, about 8,000 are by venomous snakes. What to know if you are bitten: http://wb.md/2tlbl4G pic.twitter.com/KiSK8OAqnq",37,27,3,https://pbs.twimg.com/media/DDXO2-EWAAAoPek.jpg,,
1976,WebMD,879821647716528129,3:00 PM - 27 Jun 2017,Study: Adults who suffered persistent mental distress were nearly 4 times as likely to die from heart disease. http://wb.md/2tUmzdP pic.twitter.com/zS8M6Jok2U,94,80,3,https://pbs.twimg.com/media/DDXBH9DWAAAbOuV.jpg,,
1977,WebMD,879806560289120256,2:00 PM - 27 Jun 2017,The CDC has confirmed the first case of measles in Maine in over 20 years. What you should know about the disease: http://wb.md/2tUg0aQ pic.twitter.com/RDvkZlVRzB,37,60,6,https://pbs.twimg.com/media/DDWzZwhWsAMPTZ5.jpg,,
1978,WebMD,879791453408559105,1:00 PM - 27 Jun 2017,"These are the best pediatric hospitals in the country, according to U.S. News & World Report. http://wb.md/2tTHRYU pic.twitter.com/JNXaaZ9QDH",28,20,0,https://pbs.twimg.com/media/DDWlqYOWAAAvBRD.jpg,,
1979,WebMD,879776348570517504,12:00 PM - 27 Jun 2017,RECALL ALERT: Chicken bites sold for babies nationwide at Target may contain bone fragments. http://wb.md/2tTMWQP pic.twitter.com/8bVHWfBHq4,26,40,3,https://pbs.twimg.com/media/DDWX7PUXoAAkau0.jpg,,
1980,WebMD,879761251546660865,11:00 AM - 27 Jun 2017,True or false: You should drink at least 8 glasses of water per day. http://wb.md/2tyhyqZ pic.twitter.com/DZaU0x39OS,103,49,14,https://pbs.twimg.com/media/DDWKMYSXoAAT5qn.jpg,,
