,username,TwitterID,DateTime,content,likes,retweet,replies,image,articleImage,video
1976,ClevelandClinic,867586272449056768,8:41 PM - 24 May 2017,A difficult and distressing problem in people with underlying autoimmune diseases: http://cle.clinic/2pufKzg pic.twitter.com/56FhFI5EVN,36,33,0,https://pbs.twimg.com/media/DAoWVZaXcAEiY5U.jpg,,
1977,ClevelandClinic,867577966716268544,8:08 PM - 24 May 2017,Could your hair dye be causing health issues? Watch for these red flags: http://cle.clinic/2pPIYH5 pic.twitter.com/xCyCCnofqD,42,30,0,https://pbs.twimg.com/media/DAoWZGEXYAAp-Fb.jpg,,
1978,ClevelandClinic,867563369741549568,7:10 PM - 24 May 2017,Gout can damage more than your joints. This is why:http://cle.clinic/2rBEbwK,79,50,1,,https://t.co/QQumVijoo3,
1979,ClevelandClinic,867532165466042369,5:06 PM - 24 May 2017,How much #sleep do you actually need? Broken down by age: http://cle.clinic/2qXgJac pic.twitter.com/FQw5IlGve0,112,86,0,https://pbs.twimg.com/media/DAnr-BgXYAAWghB.jpg,,
1980,ClevelandClinic,867525731613585410,4:40 PM - 24 May 2017,Myth or fact: herniated discs need to be fixed with surgery? Get the facts. http://cle.clinic/2rAVxda pic.twitter.com/4Lq5V7AcqX,96,68,5,https://pbs.twimg.com/media/DAoRvHSXcAA6Dp7.jpg,,
1981,ClevelandClinic,867512032081227776,3:46 PM - 24 May 2017,"Can your nails indicate #stress, #melanoma and even kidney disease? Find out: http://cle.clinic/2riAyMs pic.twitter.com/kTC0iSMda1",52,47,0,https://pbs.twimg.com/media/DAnx9g4WAAEj5Py.jpg,,
1982,ClevelandClinic,867485381423267842,2:00 PM - 24 May 2017,May is #MentalHealth month. Often times there are warning signs of #depression in children http://cle.clinic/2riz6Gt pic.twitter.com/CkUtaNzK5F,48,43,0,,,"['PlayableMedia', 'PlayableMedia--video']"
1983,ClevelandClinic,867475037682515968,1:19 PM - 24 May 2017,An online colorectal cancer screening tool helps people better understand risk: http://cle.clinic/2rMTCiS pic.twitter.com/O4XJVmxC6D,25,11,0,https://pbs.twimg.com/media/DAnUtHYXcAACmMT.jpg,,
1984,ClevelandClinic,867466733254090753,12:46 PM - 24 May 2017,When pedicures go wrong -- 3 problems to look for. http://cle.clinic/2r4NXar pic.twitter.com/Li5canTM6X,25,12,0,https://pbs.twimg.com/media/DAm8u_YXoAAOJRf.jpg,,
1985,ClevelandClinic,867458934952656896,12:15 PM - 24 May 2017,We’re pleased to announce that we have signed a letter of intent w/ @Union_Hospital to join our health system.http://cle.clinic/2qWuQN8,76,32,1,,https://t.co/2on84nkNY9,
1986,ClevelandClinic,867440068553711616,11:00 AM - 24 May 2017,"Cleveland Clinic tests cooling cap to fight #BreastCancer hair loss http://s.cleveland.com/YUIllNW  @jamecancerdoc
via @clevelanddotcom",91,38,4,,https://t.co/fTF3p1qcif,
1987,ClevelandClinic,867430377060806656,10:21 AM - 24 May 2017,"We’re discussing the nation’s opioid epidemic & how to make changes.
Tune in to Facebook LIVE tmrw at 6pm EST @clevelandclinic. #CCCHFpic.twitter.com/VtFLTrOSRz",21,15,0,https://pbs.twimg.com/media/DAm7I2fW0AE6ufs.jpg,,
1988,TheRealJRSmith,867151130379382784,3:51 PM - 23 May 2017,We Walked In Together We Walked Out Together!! Thank you so much to our extended family at the… https://www.instagram.com/p/BUc8idAj02F/,3880,1009,182,,,
1989,ClevelandClinic,867412757771059200,9:11 AM - 24 May 2017,"Dream bigger. Get back up. Do what you were born to do."" --
Closing words from @boissyad #PESummitpic.twitter.com/OLv08gCp7e",46,21,1,https://pbs.twimg.com/media/DAmrSvYXUAAqGSY.jpg,,
1990,ClevelandClinic,867411904054145029,9:08 AM - 24 May 2017,Job-related #stress can kill your motivation & negatively affect your feelings about life. Here’s how to fight it: http://cle.clinic/2qSZEBl pic.twitter.com/vznEH2bAuO,57,49,3,https://pbs.twimg.com/media/DAmqgldXYAAv-KX.jpg,,
1991,ClevelandClinic,867408545989447681,8:54 AM - 24 May 2017,"The #PESummit is the world’s largest, independent
conference devoted to improving the patient experience http://cle.clinic/empathy",4,2,1,,,
1992,CleClinicMD,867395648857022465,8:03 AM - 24 May 2017,"""Leveraging social media effectively is the house call for the 21st century."" #PESummit",20,14,1,,,
1993,ClevelandClinic,867393301057609728,7:54 AM - 24 May 2017,“Patients are getting their information from alternative sources -- not just physicians” @EvanKelsay #PESummit,22,18,2,,,
1994,ClevelandClinic,867358522161250305,5:36 AM - 24 May 2017,4 common reasons you've got that lingering cough: http://cle.clinic/2nieOia pic.twitter.com/hFOUuNJ5pd,36,24,0,https://pbs.twimg.com/media/DAi0oMkXYAAwfFK.jpg,,
1995,ClevelandClinic,867324044038742016,3:19 AM - 24 May 2017,Your feet change sizes over time – it's true! This is why: http://cle.clinic/2qiqVfz pic.twitter.com/YI8CfZJ2lk,75,36,2,https://pbs.twimg.com/media/DAixdKlXsAA73K3.jpg,,
1996,ClevelandClinic,867224892151869440,8:45 PM - 23 May 2017,Genomic testing may help find aggressive tumors among low-grade prostate cancers: http://cle.clinic/2qU0bQA pic.twitter.com/Tq799RcYos,66,43,0,https://pbs.twimg.com/media/DAjW-gZXcAEfvJZ.jpg,,
1997,ClevelandClinic,867215076918525953,8:06 PM - 23 May 2017,"A woman's heart may look like a man's, but there are significant differences:http://cle.clinic/2qTHKLM",77,55,1,,https://t.co/e9gA8FOXLF,
1998,ClevelandClinic,867200983436324864,7:10 PM - 23 May 2017,"When memory loss is normal, and when it's not: http://cle.clinic/2qhwdUy pic.twitter.com/moWlZgNu9d",68,59,0,https://pbs.twimg.com/media/DAitjOVW0AA3Try.jpg,,
1999,ClevelandClinic,867183372598099968,6:00 PM - 23 May 2017,"Keeping #celiac disease under control with a gluten-free diet might be challenging, but it’s worth it http://bit.ly/2rIWQDN pic.twitter.com/JQY7Ibi9SP",51,37,1,,,"['PlayableMedia', 'PlayableMedia--video']"
2000,ClevelandClinic,867178080950812672,5:39 PM - 23 May 2017,The color of your urine can say a lot about your health: http://cle.clinic/2qgxjE4 pic.twitter.com/s15yg0xzlQ,71,49,1,https://pbs.twimg.com/media/DAijWXlXoAAN9Xc.jpg,,
2001,ClevelandClinic,867168519779225600,5:01 PM - 23 May 2017,"80% of prescription opioid use is in the U.S.
Watch our Facebook Live event @clevelandclinic to get a status update from experts. #CCCHFpic.twitter.com/MenmtUfNk6",25,32,0,https://pbs.twimg.com/media/DAiI8LhXsAEvdJD.jpg,,
2002,ClevelandClinic,867159207925166080,4:24 PM - 23 May 2017,"Negative thinking can become a habit. Rather than changing the way you think, do this instead: http://cle.clinic/2lj1Luc pic.twitter.com/wNo23YKhJT",141,91,2,https://pbs.twimg.com/media/DAij-V9XcAAPsdU.jpg,,
